嗚呼	ああ
情緒	じょうしょ
上昇	じょうしょう
情勢	じょうせい
情熱	じょうねつ
丈夫	じょうふ
譲歩	じょうほ
条約	じょうやく
上陸	じょうりく
蒸留	じょうりゅう
除外	じょがい
助言	じょげん
徐行	じょこう
女史	じょし
助詞	じょし
助動詞	じょどうし
自立	じりつ
人	じん
人格	じんかく
人材	じんざい
迅速	じんそく
人体	じんたい
人民	じんみん
人目	じんもく
水気	すいき
水源	すいげん
推進	すいしん
水洗	すいせん
吹奏	すいそう
推測	すいそく
水田	すいでん
推理	すいり
数詞	すうし
崇拝	すうはい
据え付ける	すえつける
据える	すえる
清々しい	すがすがしい
過ぎ	すぎ
救い	すくい
掬う	すくう
少なくとも	すくなくとも
直ぐ	すぐ
健やか	すこやか
濯ぐ	すすぐ
進み	すすみ
勧め	すすめ
裾	すそ
廃れる	すたれる
酸っぱい	すっぱい
素敵	すてき
即ち	すなわち
	すばしこい
素早い	すばやい
済ます	すます
澄ます	すます
済まない	すまない
済みません	すみません
天皇	すめらぎ
刷り	すり
剃る	する
擦れ違い	すれちがい
すれ違う	すれちがう
擦れる	すれる
	すんなり
図々しい	ずうずうしい
	ずばり
ずぶ濡れ	ずぶぬれ
	ずらっと
	ずるずる
	ずれ
	ずれる
制	せい
製	せい
生育	せいいく
成果	せいか
正解	せいかい
正規	せいき
正義	せいぎ
生計	せいけい
政権	せいけん
精巧	せいこう
制裁	せいさい
政策	せいさく
清算	せいさん
星座	せいざ
生死	せいし
静止	せいし
青春	せいしゅん
聖書	せいしょ
誠実	せいじつ
成熟	せいじゅく
清純	せいじゅん
正常	せいじょう
制する	せいする
整然	せいぜん
盛装	せいそう
盛大	せいだい
清濁	せいだく
制定	せいてい
静的	せいてき
製鉄	せいてつ
晴天	せいてん
正当	せいとう
成年	せいねん
制服	せいふく
征服	せいふく
製法	せいほう
精密	せいみつ
声明	せいめい
姓名	せいめい
制約	せいやく
生理	せいり
勢力	せいりょく
整列	せいれつ
急かす	せかす
伜	せがれ
責務	せきむ
世辞	せじ
世帯	せたい
世代	せだい
切開	せっかい
接触	せっしょく
設置	せっち
折衷	せっちゅう
設定	せってい
説得	せっとく
節	せつ
切実	せつじつ
接続詞	せつぞくし
切ない	せつない
設立	せつりつ
攻め	せめ
世論	せろん
仙	せん
前	せん
繊維	せんい
選挙	せんきょ
宣教	せんきょう
宣言	せんげん
先行	せんこう
選考	せんこう
戦災	せんさい
専修	せんしゅう
戦術	せんじゅつ
潜水	せんすい
先先月	せんせんげつ
先先週	せんせんしゅう
先代	せんだい
先だって	せんだって
先着	せんちゃく
先天的	せんてんてき
戦闘	せんとう
潜入	せんにゅう
船舶	せんぱく
専用	せんよう
占領	せんりょう
戦力	せんりょく
税務署	ぜいむしょ
是正	ぜせい
絶版	ぜっぱん
絶望	ぜつぼう
是非とも	ぜひとも
膳	ぜん
禅	ぜん
全快	ぜんかい
全盛	ぜんせい
前提	ぜんてい
前途	ぜんと
全滅	ぜんめつ
善良	ぜんりょう
前例	ぜんれい
僧	そう
沿う	そう
添う	そう
総	そう
相応	そうおう
総会	そうかい
創刊	そうかん
送金	そうきん
走行	そうこう
総合	そうごう
捜査	そうさ
捜索	そうさく
然うして	そうして
装飾	そうしょく
操縦	そうじゅう
創造	そうぞう
壮大	そうだい
騒動	そうどう
遭難	そうなん
相場	そうば
装備	そうび
創立	そうりつ
添える	そえる
即座に	そくざに
促進	そくしん
即する	そくする
束縛	そくばく
側面	そくめん
其処	そこ
其処で	そこで
損なう	そこなう
其処ら	そこら
素材	そざい
阻止	そし
然して	そして
訴訟	そしょう
育ち	そだち
措置	そち
其方	そちら
素っ気ない	そっけない
率直	そっちょく
外方	そっぽ
備え付ける	そなえつける
備わる	そなわる
園	その
その上	そのうえ
その内	そのうち
その為	そのため
その外	そのほか
其の儘	そのまま
聳える	そびえる
素朴	そぼく
染まる	そまる
背く	そむく
染める	そめる
逸らす	そらす
反り	そり
其れ	それ
其れから	それから
各々	それぞれ
其れで	それで
其れでは	それでは
其れでも	それでも
其れ共	それとも
其れに	それに
其れ程	それほど
其れ故	それゆえ
揃い	そろい
徐々	そろそろ
損失	そんしつ
存続	そんぞく
沿い	ぞい
像	ぞう
増強	ぞうきょう
蔵相	ぞうしょう
増進	ぞうしん
	ぞんざい
他意	たい
対応	たいおう
退化	たいか
体格	たいかく
大概	たいがい
退学	たいがく
大金	たいきん
待遇	たいぐう
対決	たいけつ
体験	たいけん
対抗	たいこう
対して	たいして
大衆	たいしゅう
対処	たいしょ
退職	たいしょく
退治	たいじ
態勢	たいせい
対談	たいだん
対等	たいとう
滞納	たいのう
対比	たいひ
大部	たいぶ
対辺	たいへん
待望	たいぼう
怠慢	たいまん
対面	たいめん
対立	たいりつ
体力	たいりょく
対話	たいわ
耐える	たえる
絶える	たえる
堪える	たえる
高	たか
高まる	たかまる
焚火	たきび
沢山	たくさん
逞しい	たくましい
巧み	たくみ
類	たぐい
丈	たけ
足し算	たしざん
多数決	たすうけつ
助け	たすけ
携わる	たずさわる
漂う	ただよう
館	たち
立方	たちかた
忽ち	たちまち
立ち寄る	たちよる
達者	たっしゃ
達成	たっせい
	たった
尊い	たっとい
貴い	たっとい
尊ぶ	たっとぶ
絶つ	たつ
盾	たて
建前	たてまえ
奉る	たてまつる
例え	たとえ
仮令	たとえ
他動詞	たどうし
辿り着く	たどりつく
辿る	たどる
掌	たなごころ
楽しむ	たのしむ
頼み	たのみ
煙草	たばこ
度々	たびたび
他方	たほう
多忙	たぼう
給う	たまう
偶に	たまに
堪らない	たまらない
溜まり	たまり
賜る	たまわる
例	ためし
躊躇う	ためらう
保つ	たもつ
容易い	たやすい
多様	たよう
弛み	たるみ
弛む	たるむ
誰	たれ
垂れる	たれる
歎	たん
反	たん
単一	たんいつ
短歌	たんか
担架	たんか
短気	たんき
探検	たんけん
短縮	たんしゅく
箪笥	たんす
炭素	たんそ
短大	たんだい
単調	たんちょう
単独	たんどく
短波	たんぱ
蛋白質	たんぱくしつ
第	だい
第一	だいいち
大胆	だいたん
台無し	だいなし
大便	だいべん
代弁	だいべん
台本	だいほん
代用	だいよう
打開	だかい
妥協	だきょう
丈	だけ
妥結	だけつ
打撃	だげき
駄作	ださく
脱出	だっしゅつ
脱する	だっする
脱退	だったい
	だぶだぶ
騙す	だます
	だらけ
怠い	だるい
壇	だん
団結	だんけつ
断言	だんげん
断然	だんぜん
段々	だんだん
旦那	だんな
断面	だんめん
弾力	だんりょく
治安	ちあん
近付く	ちかづく
違える	ちがえる
契る	ちぎる
畜産	ちくさん
畜生	ちくしょう
蓄積	ちくせき
知性	ちせい
乳	ちち
父母	ちちはは
縮まる	ちぢまる
窒息	ちっそく
些とも	ちっとも
秩序	ちつじょ
知的	ちてき
著	ちゃく
着	ちゃく
着手	ちゃくしゅ
着色	ちゃくしょく
着席	ちゃくせき
着目	ちゃくもく
着陸	ちゃくりく
着工	ちゃっこう
茶の間	ちゃのま
茶の湯	ちゃのゆ
	ちやほや
昼間	ちゅうかん
宙返り	ちゅうがえり
中継	ちゅうけい
忠告	ちゅうこく
中指	ちゅうし
中傷	ちゅうしょう
忠実	ちゅうじつ
中枢	ちゅうすう
抽選	ちゅうせん
中断	ちゅうだん
中腹	ちゅうっぱら
中毒	ちゅうどく
仲人	ちゅうにん
昼飯	ちゅうはん
中立	ちゅうりつ
中和	ちゅうわ
腸	ちょう
蝶	ちょう
超	ちょう
庁	ちょう
調印	ちょういん
聴覚	ちょうかく
長官	ちょうかん
聴講	ちょうこう
徴収	ちょうしゅう
聴診器	ちょうしんき
挑戦	ちょうせん
長大	ちょうだい
調停	ちょうてい
恰度	ちょうど
長編	ちょうへん
丁目	ちょうめ
調理	ちょうり
調和	ちょうわ
	ちょくちょく
直面	ちょくめん
著書	ちょしょ
貯蓄	ちょちく
直感	ちょっかん
一寸	ちょっと
著名	ちょめい
	ちらっと
塵取り	ちりとり
治療	ちりょう
賃金	ちんぎん
沈殿	ちんでん
沈没	ちんぼつ
沈黙	ちんもく
陳列	ちんれつ
追及	ついきゅう
追跡	ついせき
次いで	ついで
追放	ついほう
費やす	ついやす
墜落	ついらく
通	つう
痛感	つうかん
通常	つうじょう
痛切	つうせつ
杖	つえ
遣い	つかい
使い道	つかいみち
仕える	つかえる
司る	つかさどる
束の間	つかのま
付き	つき
付き合う	つきあう
月並み	つきなみ
尽きる	つきる
継ぎ目	つぎめ
吐く	つく
尽くす	つくす
作り	つくり
造り	つくり
造る	つくる
繕う	つくろう
接ぐ	つぐ
継ぐ	つぐ
付け加える	つけくわえる
告げる	つげる
辻褄	つじつま
途中	つちゅう
突っ張る	つっぱる
筒	つつ
銃	つつ
突く	つつく
慎む	つつしむ
伝言	つてごと
勤まる	つとまる
勤め先	つとめさき
努めて	つとめて
津波	つなみ
抓る	つねる
募る	つのる
唾	つば
呟く	つぶやく
瞑る	つぶる
壷	つぼ
蕾	つぼみ
躓く	つまずく
摘む	つまむ
詰らない	つまらない
詰まり	つまり
積もり	つもり
露	つゆ
強まる	つよまる
強める	つよめる
連なる	つらなる
貫く	つらぬく
連ねる	つらねる
釣り	つり
吊り革	つりかわ
釣鐘	つりがね
吊るす	つるす
手当て	てあて
体	てい
提供	ていきょう
定義	ていぎ
提携	ていけい
体裁	ていさい
梯子	ていし
定食	ていしょく
提示	ていじ
訂正	ていせい
停滞	ていたい
邸宅	ていたく
定年	ていねん
堤防	ていぼう
手遅れ	ておくれ
手数	てかず
手掛かり	てがかり
手掛ける	てがける
手軽	てがる
的	てき
適応	てきおう
適宜	てきぎ
適性	てきせい
手際	てぎわ
手順	てじゅん
手錠	てじょう
手近	てぢか
	てっきり
鉄鋼	てっこう
徹する	てっする
鉄片	てっぺん
手配	てはい
手筈	てはず
手引き	てびき
手本	てほん
手回し	てまわし
手元	てもと
照り返す	てりかえす
手分け	てわけ
店	てん
点火	てんか
転回	てんかい
転換	てんかん
転居	てんきょ
転勤	てんきん
点検	てんけん
転校	てんこう
天国	てんごく
天才	てんさい
天災	てんさい
展示	てんじ
天井	てんじょう
転じる	てんじる
点線	てんせん
天体	てんたい
転転	てんてん
	てんで
転任	てんにん
展望	てんぼう
転落	てんらく
出合う	であう
出入り口	でいりぐち
	でかい
出来物	できもの
出切る	できる
出くわす	でくわす
出鱈目	でたらめ
出直し	でなおし
田園	でんえん
電源	でんげん
伝説	でんせつ
電線	でんせん
伝達	でんたつ
伝来	でんらい
	と
問い合わせる	といあわせる
問屋	といや
問う	とう
棟	とう
等	とう
陶器	とうき
等級	とうきゅう
討議	とうぎ
登校	とうこう
統合	とうごう
倒産	とうさん
投資	とうし
統治	とうじ
統制	とうせい
当選	とうせん
逃走	とうそう
統率	とうそつ
到達	とうたつ
到底	とうてい
丁々	とうとう
投入	とうにゅう
当人	とうにん
逃亡	とうぼう
冬眠	とうみん
登録	とうろく
討論	とうろん
遠ざかる	とおざかる
遠回り	とおまわり
通りかかる	とおりかかる
兎角	とかく
咎める	とがめる
時折	ときおり
跡切れる	とぎれる
説く	とく
特技	とくぎ
特産	とくさん
特集	とくしゅう
得点	とくてん
特派	とくは
特有	とくゆう
研ぐ	とぐ
刺	とげ
遂げる	とげる
床	とこ
所が	ところが
所で	ところで
年頃	としごろ
年寄り	としより
戸締り	とじまり
途上	とじょう
綴じる	とじる
途絶える	とだえる
特許	とっきょ
疾っくに	とっくに
特権	とっけん
咄嗟	とっさ
取っ手	とって
突破	とっぱ
突如	とつじょ
迚も	とても
整える	ととのえる
届け	とどけ
滞る	とどこおる
止まる	とどまる
留める	とどめる
止める	とどめる
唱える	となえる
兎に角	とにかく
殿様	とのさま
幕	とばり
帳	とばり
扉	とびら
徒歩	とほ
乏しい	とぼしい
富	とみ
富む	とむ
兎も角	ともかく
共稼ぎ	ともかせぎ
灯	ともしび
伴う	ともなう
共働き	ともばたらき
捕らえる	とらえる
取りあえず	とりあえず
取り扱い	とりあつかい
取り扱う	とりあつかう
鳥居	とりい
取り替え	とりかえ
取り組む	とりくむ
取り締まり	とりしまり
取り締まる	とりしまる
取り調べる	とりしらべる
取り立てる	とりたてる
取り次ぐ	とりつぐ
取り除く	とりのぞく
取り引き	とりひき
取り巻く	とりまく
取り混ぜる	とりまぜる
取り戻す	とりもどす
取り寄せる	とりよせる
取り分	とりわけ
副	とりわけ
蕩ける	とろける
	とんだ
胴	どう
働	どう
同	どう
同意	どうい
動員	どういん
同感	どうかん
動機	どうき
同級	どうきゅう
同居	どうきょ
動向	どうこう
同士	どうし
同志	どうし
如何して	どうして
如何しても	どうしても
同情	どうじょう
道場	どうじょう
何卒	どうぞ
どうぞ宜しく	どうぞよろしく
同調	どうちょう
動的	どうてき
同等	どうとう
堂々	どうどう
	どうにか
導入	どうにゅう
同封	どうふう
同盟	どうめい
	どうやら
動揺	どうよう
動力	どうりょく
独裁	どくさい
読者	どくしゃ
独自	どくじ
独占	どくせん
独創	どくそう
何処	どこ
何処か	どこか
土産	どさん
土台	どだい
何方	どちら
土手	どて
何方	どなた
怒鳴る	どなる
何の	どの
土俵	どひょう
土木	どぼく
何れ	どれ
何々	どれどれ
度忘れ	どわすれ
鈍感	どんかん
内閣	ないかく
乃至	ないし
内臓	ないぞう
内部	ないぶ
内乱	ないらん
内陸	ないりく
苗	なえ
尚	なお
尚更	なおさら
中程	なかほど
流し	ながし
長々	ながなが
殴る	なぐる
嘆く	なげく
投げ出す	なげだす
和やか	なごやか
名残	なごり
情け	なさけ
情け深い	なさけぶかい
為さる	なさる
詰る	なじる
何故	なぜ
何故なら	なぜなら
名高い	なだかい
雪崩	なだれ
懐く	なつく
名付ける	なづける
何気ない	なにげない
何しろ	なにしろ
何卒	なにとぞ
何も	なにも
何より	なにより
七日	なぬか
名札	なふだ
生臭い	なまぐさい
生温い	なまぬるい
生身	なまみ
鉛	なまり
鈍る	なまる
並み	なみ
滑らか	なめらか
嘗める	なめる
悩ましい	なやましい
悩ます	なやます
悩み	なやみ
平均	ならし
慣らす	ならす
馴らす	ならす
並びに	ならびに
成り立つ	なりたつ
成る丈	なるたけ
成るべく	なるべく
慣れ	なれ
馴れ馴れしい	なれなれしい
難	なん
南	なん
	なんか
何だか	なんだか
	なんだかんだ
何て	なんて
何と	なんと
何となく	なんとなく
何とも	なんとも
何なり	なんなり
荷	に
似通う	にかよう
面皰	にきび
賑わう	にぎわう
悪い	にくい
憎しみ	にくしみ
肉親	にくしん
肉体	にくたい
逃げ出す	にげだす
西日	にしび
滲む	にじむ
日夜	にちや
日当	にっとう
荷造り	にづくり
担う	になう
二人	ににん
にも拘らず	にもかかわらず
入手	にゅうしゅ
入賞	にゅうしょう
入浴	にゅうよく
尿	にょう
俄か	にわか
認識	にんしき
妊娠	にんしん
人情	にんじょう
任務	にんむ
任命	にんめい
抜かす	ぬかす
抜け出す	ぬけだす
盗み	ぬすみ
沼	ぬま
音	ね
値打ち	ねうち
寝かせる	ねかせる
捻子	ねじ
ねじ回し	ねじまわし
捻じれる	ねじれる
鼠	ねず
妬む	ねたむ
強請る	ねだる
熱湯	ねっとう
熱意	ねつい
熱量	ねつりょう
粘り	ねばり
粘る	ねばる
値引き	ねびき
根回し	ねまわし
眠たい	ねむたい
練る	ねる
念	ねん
年鑑	ねんかん
年号	ねんごう
燃焼	ねんしょう
年生	ねんせい
年長	ねんちょう
燃料	ねんりょう
年輪	ねんりん
脳	のう
農耕	のうこう
農場	のうじょう
農地	のうち
納入	のうにゅう
逃す	のがす
逃れる	のがれる
軒並み	のきなみ
鋸	のこぎり
望ましい	のぞましい
臨む	のぞむ
乗っ取る	のっとる
長閑	のどか
罵る	ののしる
延べ	のべ
飲み込む	のみこむ
乗り換え	のりかえ
乗り込む	のりこむ
刃	は
派	は
把握	はあく
肺	はい
廃棄	はいき
配給	はいきゅう
配偶者	はいぐうしゃ
拝啓	はいけい
背景	はいけい
背後	はいご
灰皿	はいさら
廃止	はいし
拝借	はいしゃく
排除	はいじょ
排水	はいすい
敗戦	はいせん
配置	はいち
配布	はいふ
配分	はいぶん
配慮	はいりょ
配列	はいれつ
映える	はえる
破壊	はかい
墓地	はかち
捗る	はかどる
果ない	はかない
諮る	はかる
図る	はかる
剥がす	はがす
破棄	はき
泊	はく
迫害	はくがい
薄弱	はくじゃく
白状	はくじょう
剥ぐ	はぐ
派遣	はけん
励ます	はげます
励む	はげむ
剥げる	はげる
鋏	はさみ
柱	はしら
橋渡し	はしわたし
恥	はじ
弾く	はじく
始め	はじめ
始めまして	はじめまして
恥じらう	はじらう
恥じる	はじる
蓮	はす
筈	はず
弾む	はずむ
破損	はそん
機	はた
果たして	はたして
果たす	はたす
裸足	はだし
蜂蜜	はちみつ
発掘	はっくつ
発生	はっせい
発足	はっそく
初	はつ
発	はつ
発育	はついく
発芽	はつが
発言	はつげん
発病	はつびょう
初耳	はつみみ
果て	はて
果てる	はてる
話し合い	はなしあい
甚だ	はなはだ
華々しい	はなばなしい
花びら	はなびら
華やか	はなやか
阻む	はばむ
浜	はま
浜辺	はまべ
填まる	はまる
歯磨	はみがき
填める	はめる
生やす	はやす
早める	はやめる
流行	はやり
腹立ち	はらだち
原っぱ	はらっぱ
張り紙	はりがみ
遥か	はるか
破裂	はれつ
腫れる	はれる
班	はん
判	はん
版	はん
繁栄	はんえい
反感	はんかん
版画	はんが
反響	はんきょう
判決	はんけつ
反撃	はんげき
反射	はんしゃ
繁殖	はんしょく
繁盛	はんじょう
反する	はんする
判定	はんてい
反応	はんのう
半端	はんぱ
反発	はんぱつ
反乱	はんらん
氾濫	はんらん
黴菌	ばいきん
賠償	ばいしょう
倍率	ばいりつ
馬鹿馬鹿しい	ばかばかしい
馬鹿らしい	ばからしい
漠然	ばくぜん
爆弾	ばくだん
爆破	ばくは
暴露	ばくろ
化ける	ばける
罰	ばち
伐	ばつ
	ばてる
発条	ばね
散蒔く	ばらまく
判	ばん
万	ばん
万人	ばんじん
万能	ばんのう
番目	ばんめ
非	ひ
費	ひ
延いては	ひいては
控室	ひかえしつ
控える	ひかえる
悲観	ひかん
匹	ひき
引き上げる	ひきあげる
率いる	ひきいる
引き受ける	ひきうける
引き起こす	ひきおこす
引き下げる	ひきさげる
引きずる	ひきずる
引き取る	ひきとる
引き分け	ひきわけ
否決	ひけつ
非行	ひこう
日頃	ひごろ
久しい	ひさしい
久し振り	ひさしぶり
悲惨	ひさん
秘書	ひしょ
比重	ひじゅう
密か	ひそか
浸す	ひたす
一向	ひたすら
左利き	ひだりきき
引っ掻く	ひっかく
引っ掛ける	ひっかける
必修	ひっしゅう
匹敵	ひってき
未	ひつじ
必然	ひつぜん
一息	ひといき
単	ひとえ
人柄	ひとがら
一頃	ひところ
人質	ひとじち
一筋	ひとすき
一まず	ひとまず
一人でに	ひとりでに
酷い	ひどい
日取り	ひどり
雛	ひな
日向	ひなた
非難	ひなん
避難	ひなん
日の丸	ひのまる
火花	ひばな
日々	ひび
悲鳴	ひめい
百科事典	ひゃっかじてん
百科辞典	ひゃっかじてん
冷やかす	ひやかす
日焼け	ひやけ
票	ひょう
標語	ひょうご
	ひょっと
平たい	ひらたい
比率	ひりつ
肥料	ひりょう
比例	ひれい
疲労	ひろう
広まる	ひろまる
貧困	ひんこん
品質	ひんしつ
品種	ひんしゅ
貧弱	ひんじゃく
頻繁	ひんぱん
美	び
微笑	びしょう
美術	びじゅつ
吃驚	びっくり
	びっしょり
描写	びょうしゃ
	びり
微量	びりょう
敏感	びんかん
貧乏	びんぼう
歩	ふ
不意	ふい
封	ふう
封鎖	ふうさ
風習	ふうしゅう
風俗	ふうぞく
風土	ふうど
不可欠	ふかけつ
深める	ふかめる
不吉	ふきつ
不況	ふきょう
布巾	ふきん
福	ふく
復旧	ふくきゅう
複合	ふくごう
福祉	ふくし
覆面	ふくめん
膨れる	ふくれる
不景気	ふけいき
老ける	ふける
布告	ふこく
富豪	ふごう
負債	ふさい
相応しい	ふさわしい
不在	ふざい
不山戯る	ふざける
負傷	ふしょう
不審	ふしん
不振	ふしん
不順	ふじゅん
付属	ふぞく
負担	ふたん
不調	ふちょう
復活	ふっかつ
復興	ふっこう
沸騰	ふっとう
仏	ふつ
不図	ふと
不当	ふとう
不動産	ふどうさん
赴任	ふにん
腐敗	ふはい
不評	ふひょう
不便	ふびん
不服	ふふく
普遍	ふへん
踏まえる	ふまえる
文	ふみ
不明	ふめい
扶養	ふよう
振り	ふり
振り出し	ふりだし
不良	ふりょう
浮力	ふりょく
震わせる	ふるわせる
付録	ふろく
分	ふん
憤慨	ふんがい
紛失	ふんしつ
噴出	ふんしゅつ
紛争	ふんそう
	ふんだん
奮闘	ふんとう
粉末	ふんまつ
部	ぶ
部下	ぶか
	ぶかぶか
侮辱	ぶじょく
武装	ぶそう
斑	ぶち
物資	ぶっし
物体	ぶったい
物議	ぶつぎ
打付ける	ぶつける
仏像	ぶつぞう
無難	ぶなん
部門	ぶもん
ぶら下げる	ぶらさげる
	ぶらぶら
武力	ぶりょく
無礼	ぶれい
文化財	ぶんかざい
分業	ぶんぎょう
文語	ぶんご
分散	ぶんさん
分子	ぶんし
文書	ぶんしょ
分担	ぶんたん
分配	ぶんぱい
分母	ぶんぼ
分離	ぶんり
分裂	ぶんれつ
兵器	へいき
閉口	へいこう
平行	へいこう
閉鎖	へいさ
兵士	へいし
平常	へいじょう
平方	へいほう
並列	へいれつ
辟易	へきえき
臍	へそ
隔たる	へだたる
謙る	へりくだる
経る	へる
編	へん
偏	へん
変革	へんかく
返還	へんかん
偏見	へんけん
返済	へんさい
変遷	へんせん
返答	へんとう
変動	へんどう
弁解	べんかい
便宜	べんぎ
弁護	べんご
弁償	べんしょう
弁論	べんろん
	ぺこぺこ
穂	ほ
保育	ほいく
倣	ほう
法案	ほうあん
崩壊	ほうかい
法学	ほうがく
放棄	ほうき
宝器	ほうき
封建	ほうけん
豊作	ほうさく
方策	ほうさく
奉仕	ほうし
方式	ほうしき
放射	ほうしゃ
放射能	ほうしゃのう
報酬	ほうしゅう
放出	ほうしゅつ
報じる	ほうじる
報ずる	ほうずる
放置	ほうち
法廷	ほうてい
報道	ほうどう
褒美	ほうび
葬る	ほうむる
放り込む	ほうりこむ
放り出す	ほうりだす
飽和	ほうわ
保温	ほおん
捕獲	ほかく
保管	ほかん
補給	ほきゅう
補強	ほきょう
保険	ほけん
捕鯨	ほげい
誇る	ほこる
綻びる	ほころびる
保護	ほご
乾	ほし
干し物	ほしもの
保守	ほしゅ
保障	ほしょう
補償	ほしょう
補充	ほじゅう
補助	ほじょ
舗装	ほそう
補足	ほそく
発作	ほっさ
	ほっと
頬っぺた	ほっぺた
辺り	ほとり
殆ど	ほとんど
解く	ほどく
施す	ほどこす
保母	ほぼ
保養	ほよう
捕吏	ほり
捕虜	ほりょ
滅びる	ほろびる
滅ぼす	ほろぼす
本格	ほんかく
本館	ほんかん
本気	ほんき
本質	ほんしつ
本体	ほんたい
本音	ほんね
本の	ほんの
本能	ほんのう
本場	ほんば
本文	ほんぶん
本名	ほんみょう
卯	ぼう
防衛	ぼうえい
防火	ぼうか
妨害	ぼうがい
紡績	ぼうせき
呆然	ぼうぜん
膨脹	ぼうちょう
冒頭	ぼうとう
暴動	ぼうどう
暴風	ぼうふう
暴力	ぼうりょく
募金	ぼきん
牧師	ぼくし
母校	ぼこう
没収	ぼっしゅう
坊ちゃん	ぼっちゃん
	ぼつぼつ
没落	ぼつらく
	ぼやく
	ぼやける
藍褸	ぼろ
枚	まい
埋蔵	まいぞう
舞う	まう
真上	まうえ
前売り	まえうり
前置き	まえおき
前もって	まえもって
任す	まかす
負かす	まかす
賄う	まかなう
曲がる	まがる
巻	まき
紛らわしい	まぎらわしい
紛れる	まぎれる
膜	まく
捲る	まくる
真心	まこころ
誠	まこと
真に	まことに
	まごつく
正しく	まさしく
正に	まさに
勝る	まさる
増し	まし
真下	ました
況して	まして
交える	まじえる
交わる	まじわる
麻酔	ますい
益々	ますます
不味い	まずい
股	また
跨がる	またがる
跨ぐ	またぐ
瞬き	またたき
待ち合わせ	まちあわせ
間違う	まちがう
待ち遠しい	まちどおしい
待ち望む	まちのぞむ
区々	まちまち
末期	まっき
真っ二つ	まっぷたつ
的	まと
纏まり	まとまり
纏め	まとめ
免れる	まぬかれる
招き	まねき
麻痺	まひ
眩しい	まぶしい
目蓋	まぶた
間々	まま
間もなく	まもなく
眉	まゆ
鞠	まり
丸ごと	まるごと
丸っきり	まるっきり
丸で	まるで
丸々	まるまる
丸める	まるめる
満月	まんげつ
満場	まんじょう
真ん中	まんなか
真ん前	まんまえ
真ん丸い	まんまるい
三	み
見合い	みあい
見合わせる	みあわせる
見落とす	みおとす
未開	みかい
味覚	みかく
見掛ける	みかける
三日月	みかずき
見方	みかた
見苦しい	みぐるしい
見込み	みこみ
未婚	みこん
惨め	みじめ
未熟	みじゅく
微塵	みじん
見すぼらしい	みすぼらしい
見せびらかす	みせびらかす
見せ物	みせもの
満たす	みたす
乱す	みだす
乱れる	みだれる
未知	みち
導く	みちびく
身近	みぢか
密集	みっしゅう
密接	みっせつ
見っともない	みっともない
蜜	みつ
密度	みつど
見積り	みつもり
未定	みてい
見通し	みとおし
源	みなもと
身なり	みなり
峰	みね
見逃す	みのがす
見晴らし	みはらし
身振り	みぶり
見舞	みまい
脈	みゃく
未練	みれん
見渡す	みわたす
民主	みんしゅ
民宿	みんしゅく
民族	みんぞく
民俗	みんぞく
六	む
無意味	むいみ
向き	むき
無口	むくち
向け	むけ
婿	むこ
無効	むこう
無言	むごん
毟る	むしる
無邪気	むじゃき
結び	むすび
結び付き	むすびつき
結び付く	むすびつく
結び付ける	むすびつける
無線	むせん
無駄遣い	むだづかい
無断	むだん
無知	むち
無茶	むちゃ
無茶苦茶	むちゃくちゃ
空しい	むなしい
無念	むねん
無能	むのう
無闇に	むやみに
無用	むよう
群がる	むらがる
無論	むろん
名産	めいさん
名称	めいしょう
命中	めいちゅう
名簿	めいぼ
名誉	めいよ
明瞭	めいりょう
明朗	めいろう
目方	めかた
恵み	めぐみ
恵む	めぐむ
目覚しい	めざましい
目覚める	めざめる
召す	めす
雌	めす
滅茶苦茶	めちゃくちゃ
目付き	めつき
滅亡	めつぼう
愛でたい	めでたい
目眩	めまい
目盛	めもり
面会	めんかい
免除	めんじょ
面する	めんする
面目	めんぼく
設ける	もうける
申し入れる	もうしいれる
申し込み	もうしこみ
申出	もうしで
申し出る	もうしでる
申し分	もうしぶん
盲点	もうてん
猛烈	もうれつ
藻掻く	もがく
目録	もくろく
目論見	もくろみ
模型	もけい
模索	もさく
若し	もし
若しかしたら	もしかしたら
若しかして	もしかして
若しかすると	もしかすると
若しくは	もしくは
若しも	もしも
齎らす	もたらす
凭れる	もたれる
持ち	もち
持ち切り	もちきり
物体ない	もったいない
以て	もって
専ら	もっぱら
持て成す	もてなす
持てる	もてる
基	もとい
物置き	ものおき
物好き	ものずき
物足りない	ものたりない
最早	もはや
模範	もはん
模倣	もほう
揉める	もめる
腿	もも
催す	もよおす
漏らす	もらす
盛り上がる	もりあがる
漏る	もる
漏れる	もれる
脆い	もろい
	もろに
問	もん
矢	や
哉	や
喧しい	やかましい
野外	やがい
軈て	やがて
夜行	やぎょう
役職	やくしょく
役立つ	やくだつ
役場	やくば
夜具	やぐ
優	やさ
屋敷	やしき
養う	やしなう
社	やしろ
野心	やしん
易い	やすい
安っぽい	やすっぽい
休める	やすめる
野生	やせい
矢鱈に	やたらに
夜中	やちゅう
奴	やっこ
やっ付ける	やっつける
矢っ張り	やっぱり
野党	やとう
病	やまい
闇	やみ
病む	やむ
止むを得ない	やむをえない
稍	やや
	ややこしい
遣り通す	やりとおす
やり遂げる	やりとげる
遣る	やる
和らげる	やわらげる
優位	ゆうい
憂鬱	ゆううつ
有益	ゆうえき
