嗚呼	ああ
行い	おこない
厳か	おごそか
傲る	おごる
長	おさ
押さえる	おさえる
お先に	おさきに
収まる	おさまる
納まる	おさまる
治まる	おさまる
お産	おさん
教え	おしえ
押し込む	おしこむ
惜しむ	おしむ
お喋り	おしゃべり
お洒落	おしゃれ
押し寄せる	おしよせる
お祖父さん	おじいさん
お邪魔します	おじゃまします
雄	おす
お世辞	おせじ
襲う	おそう
遅くとも	おそくとも
恐らく	おそらく
恐れ	おそれ
恐れ入る	おそれいる
お大事に	おだいじに
煽てる	おだてる
落ち込む	おちこむ
落ち着き	おちつき
落ち葉	おちば
落ちる	おちる
	おっかない
仰っしゃる	おっしゃる
乙	おつ
お使い	おつかい
お手上げ	おてあげ
御手洗い	おてあらい
弟	おと
落とす	おとす
訪れる	おとずれる
大人しい	おとなしい
少女	おとめ
お供	おとも
衰える	おとろえる
	おどおど
脅かす	おどかす
脅す	おどす
驚き	おどろき
同い年	おないどし
女子	おなご
お願いします	おねがいします
各	おのおの
自ずから	おのずから
お早う	おはよう
お祖母さん	おばあさん
怯える	おびえる
夥しい	おびただしい
帯びる	おびる
覚え	おぼえ
御負け	おまけ
お巡りさん	おまわりさん
お宮	おみや
お襁褓	おむつ
お目出度う	おめでとう
面	おも
思い付き	おもいつき
面白い	おもしろい
玩具	おもちゃ
重なる	おもなる
趣	おもむき
赴く	おもむく
重役	おもやく
重んじる	おもんじる
重んずる	おもんずる
お休み	おやすみ
お八	おやつ
凡そ	およそ
及び	および
及ぶ	およぶ
織	おり
檻	おり
折り返す	おりかえす
織物	おりもの
織る	おる
俺	おれ
愚か	おろか
疎か	おろそか
終わる	おわる
音色	おんいろ
温和	おんわ
仮	か
科	か
個	か
下位	かい
階	かい
改悪	かいあく
海運	かいうん
改革	かいかく
貝殻	かいがら
階級	かいきゅう
海峡	かいきょう
会見	かいけん
介護	かいご
開催	かいさい
回収	かいしゅう
改修	かいしゅう
怪獣	かいじゅう
解除	かいじょ
回送	かいそう
階層	かいそう
開拓	かいたく
会談	かいだん
改定	かいてい
改訂	かいてい
街道	かいどう
介入	かいにゅう
開発	かいはつ
海抜	かいばつ
介抱	かいほう
解剖	かいぼう
回覧	かいらん
海流	かいりゅう
改良	かいりょう
回路	かいろ
顧みる	かえりみる
省みる	かえりみる
返る	かえる
顔付き	かおつき
掲げる	かかげる
踵	かかと
係り	かかり
課外	かがい
書き取り	かきとり
書き取る	かきとる
掻き回す	かきまわす
欠く	かく
角	かく
核	かく
格	かく
佳句	かく
画	かく
格差	かくさ
拡散	かくさん
各種	かくしゅ
隔週	かくしゅう
確信	かくしん
革新	かくしん
確定	かくてい
獲得	かくとく
確保	かくほ
革命	かくめい
確立	かくりつ
